2026-05-31 17:20:20,451 | agents               | INFO     | config_manager:_load_env_file:91 | 🔍 [ConfigManager] 加载 .env 文件: /Users/moneisur/TradingAgents-CN/.env
2026-05-31 17:20:20,451 | agents               | INFO     | config_manager:_load_env_file:92 | 🔍 [ConfigManager] 加载前 DASHSCOPE_API_KEY: 空
2026-05-31 17:20:20,453 | agents               | INFO     | config_manager:_load_env_file:96 | 🔍 [ConfigManager] 加载后 DASHSCOPE_API_KEY: 空
2026-05-31 17:20:20,453 | agents               | INFO     | config_manager:_init_mongodb_storage:154 | 🔧 [ConfigManager] 开始初始化 MongoDB 存储...
2026-05-31 17:20:20,453 | agents               | INFO     | config_manager:_init_mongodb_storage:164 | 🔍 [ConfigManager] USE_MONGODB_STORAGE=false (解析为: False)
2026-05-31 17:20:20,453 | agents               | INFO     | config_manager:_init_mongodb_storage:167 | ℹ️ [ConfigManager] MongoDB 存储未启用，将使用 JSON 文件存储
2026-05-31 17:20:23,266 | dataflows            | WARNING  | interface:<module>:35 | ⚠️ 港股工具不可用: No module named 'yfinance'
2026-05-31 17:20:23,267 | dataflows            | WARNING  | interface:<module>:179 | ⚠️ yfinance工具不可用: No module named 'yfinance'
2026-05-31 17:20:23,267 | dataflows            | WARNING  | interface:<module>:186 | ⚠️ stockstats工具不可用: No module named 'yfinance'
2026-05-31 17:20:23,271 | dataflows            | WARNING  | interface:<module>:202 | ⚠️ yfinance库不可用: No module named 'yfinance'
2026-05-31 17:23:35,783 | agents               | INFO     | config_manager:_load_env_file:91 | 🔍 [ConfigManager] 加载 .env 文件: /Users/moneisur/TradingAgents-CN/.env
2026-05-31 17:23:35,783 | agents               | INFO     | config_manager:_load_env_file:92 | 🔍 [ConfigManager] 加载前 DASHSCOPE_API_KEY: 空
2026-05-31 17:23:35,784 | agents               | INFO     | config_manager:_load_env_file:96 | 🔍 [ConfigManager] 加载后 DASHSCOPE_API_KEY: 空
2026-05-31 17:23:35,784 | agents               | INFO     | config_manager:_init_mongodb_storage:154 | 🔧 [ConfigManager] 开始初始化 MongoDB 存储...
2026-05-31 17:23:35,785 | agents               | INFO     | config_manager:_init_mongodb_storage:164 | 🔍 [ConfigManager] USE_MONGODB_STORAGE=false (解析为: False)
